flags,P1,P2,P3,P4,P5,step,loss
00000,0,0,0,0,0,0,3.365967
00000,0,0,0,0,0,1,3.424273
00000,0,0,0,0,0,2,3.177784
00000,0,0,0,0,0,3,3.066614
00000,0,0,0,0,0,4,3.221285
00000,0,0,0,0,0,5,2.947397
00000,0,0,0,0,0,6,3.290968
00000,0,0,0,0,0,7,3.323986
00000,0,0,0,0,0,8,2.902462
00000,0,0,0,0,0,9,3.223238
00000,0,0,0,0,0,10,2.801902
00000,0,0,0,0,0,11,2.937349
00000,0,0,0,0,0,12,3.061302
00000,0,0,0,0,0,13,3.089694
00000,0,0,0,0,0,14,3.055935
00000,0,0,0,0,0,15,2.739987
00000,0,0,0,0,0,16,2.899256
00000,0,0,0,0,0,17,2.887196
00000,0,0,0,0,0,18,2.720071
00000,0,0,0,0,0,19,2.740484
00000,0,0,0,0,0,20,3.685927
00000,0,0,0,0,0,21,2.796121
00000,0,0,0,0,0,22,2.836526
00000,0,0,0,0,0,23,2.034080
00000,0,0,0,0,0,24,3.385227
00000,0,0,0,0,0,25,2.879516
00000,0,0,0,0,0,26,3.274086
00000,0,0,0,0,0,27,2.911972
00000,0,0,0,0,0,28,2.320905
00000,0,0,0,0,0,29,2.299393
00000,0,0,0,0,0,30,2.897398
00000,0,0,0,0,0,31,2.940302
00000,0,0,0,0,0,32,2.695807
00000,0,0,0,0,0,33,2.196034
00000,0,0,0,0,0,34,3.125189
00000,0,0,0,0,0,35,2.699558
00000,0,0,0,0,0,36,2.477431
00000,0,0,0,0,0,37,2.912717
00000,0,0,0,0,0,38,2.289443
00000,0,0,0,0,0,39,2.857547
00000,0,0,0,0,0,40,2.299972
00000,0,0,0,0,0,41,2.506876
00000,0,0,0,0,0,42,2.905941
00000,0,0,0,0,0,43,2.472699
00000,0,0,0,0,0,44,2.132463
00000,0,0,0,0,0,45,3.105193
00000,0,0,0,0,0,46,2.521083
00000,0,0,0,0,0,47,3.050915
00000,0,0,0,0,0,48,2.715657
00000,0,0,0,0,0,49,2.453386
00000,0,0,0,0,0,50,3.688843
00000,0,0,0,0,0,51,2.845824
00000,0,0,0,0,0,52,3.026790
00000,0,0,0,0,0,53,2.207540
00000,0,0,0,0,0,54,2.740966
00000,0,0,0,0,0,55,2.144248
00000,0,0,0,0,0,56,2.517727
00000,0,0,0,0,0,57,2.520588
00000,0,0,0,0,0,58,2.611851
00000,0,0,0,0,0,59,2.958829
00000,0,0,0,0,0,60,2.712185
00000,0,0,0,0,0,61,2.486464
00000,0,0,0,0,0,62,2.691784
00000,0,0,0,0,0,63,2.899742
00000,0,0,0,0,0,64,2.841466
00000,0,0,0,0,0,65,2.870068
00000,0,0,0,0,0,66,2.712265
00000,0,0,0,0,0,67,2.563849
00000,0,0,0,0,0,68,2.592819
00000,0,0,0,0,0,69,2.852557
00000,0,0,0,0,0,70,3.359949
00000,0,0,0,0,0,71,2.614834
00000,0,0,0,0,0,72,2.563469
00000,0,0,0,0,0,73,2.343098
00000,0,0,0,0,0,74,2.368806
00000,0,0,0,0,0,75,2.755318
00000,0,0,0,0,0,76,2.762094
00000,0,0,0,0,0,77,2.952236
00000,0,0,0,0,0,78,2.377564
00000,0,0,0,0,0,79,2.381569
00000,0,0,0,0,0,80,2.376500
00000,0,0,0,0,0,81,3.042176
00000,0,0,0,0,0,82,2.623637
00000,0,0,0,0,0,83,2.179896
00000,0,0,0,0,0,84,2.249461
00000,0,0,0,0,0,85,2.413739
00000,0,0,0,0,0,86,2.958626
00000,0,0,0,0,0,87,2.777877
00000,0,0,0,0,0,88,2.735630
00000,0,0,0,0,0,89,2.398478
00000,0,0,0,0,0,90,2.648988
00000,0,0,0,0,0,91,3.411448
00000,0,0,0,0,0,92,2.678853
00000,0,0,0,0,0,93,3.047037
00000,0,0,0,0,0,94,2.395424
00000,0,0,0,0,0,95,2.413949
00000,0,0,0,0,0,96,2.003076
00000,0,0,0,0,0,97,3.274788
00000,0,0,0,0,0,98,2.175023
00000,0,0,0,0,0,99,3.200250
00000,0,0,0,0,0,100,2.453630
00000,0,0,0,0,0,101,2.211076
00000,0,0,0,0,0,102,2.756028
00000,0,0,0,0,0,103,2.686494
00000,0,0,0,0,0,104,2.504492
00000,0,0,0,0,0,105,2.462073
00000,0,0,0,0,0,106,2.892982
00000,0,0,0,0,0,107,2.293163
00000,0,0,0,0,0,108,2.182512
00000,0,0,0,0,0,109,2.396115
00000,0,0,0,0,0,110,2.681053
00000,0,0,0,0,0,111,2.564196
00000,0,0,0,0,0,112,2.750060
00000,0,0,0,0,0,113,2.300921
00000,0,0,0,0,0,114,2.194310
00000,0,0,0,0,0,115,2.617527
00000,0,0,0,0,0,116,2.610540
00000,0,0,0,0,0,117,2.190166
00000,0,0,0,0,0,118,2.529617
00000,0,0,0,0,0,119,2.694039
00000,0,0,0,0,0,120,2.341444
00000,0,0,0,0,0,121,2.141581
00000,0,0,0,0,0,122,2.599504
00000,0,0,0,0,0,123,2.434358
00000,0,0,0,0,0,124,2.939293
00000,0,0,0,0,0,125,2.117964
00000,0,0,0,0,0,126,2.539189
00000,0,0,0,0,0,127,2.244525
00000,0,0,0,0,0,128,2.214534
00000,0,0,0,0,0,129,2.998898
00000,0,0,0,0,0,130,2.827474
00000,0,0,0,0,0,131,2.049271
00000,0,0,0,0,0,132,2.739736
00000,0,0,0,0,0,133,2.574155
00000,0,0,0,0,0,134,2.768235
00000,0,0,0,0,0,135,3.143486
00000,0,0,0,0,0,136,2.111656
00000,0,0,0,0,0,137,2.224253
00000,0,0,0,0,0,138,2.844128
00000,0,0,0,0,0,139,2.533481
00000,0,0,0,0,0,140,3.111636
00000,0,0,0,0,0,141,2.339788
00000,0,0,0,0,0,142,3.172226
00000,0,0,0,0,0,143,2.386153
00000,0,0,0,0,0,144,2.474565
00000,0,0,0,0,0,145,2.582591
00000,0,0,0,0,0,146,2.206095
00000,0,0,0,0,0,147,2.479059
00000,0,0,0,0,0,148,2.156631
00000,0,0,0,0,0,149,2.478962
00000,0,0,0,0,0,150,2.792831
00000,0,0,0,0,0,151,2.537702
00000,0,0,0,0,0,152,2.789769
00000,0,0,0,0,0,153,3.076650
00000,0,0,0,0,0,154,2.727922
00000,0,0,0,0,0,155,2.681859
00000,0,0,0,0,0,156,3.182657
00000,0,0,0,0,0,157,1.841488
00000,0,0,0,0,0,158,3.555443
00000,0,0,0,0,0,159,2.122173
00000,0,0,0,0,0,160,2.065047
00000,0,0,0,0,0,161,2.466739
00000,0,0,0,0,0,162,2.471603
00000,0,0,0,0,0,163,2.471776
00000,0,0,0,0,0,164,2.468674
00000,0,0,0,0,0,165,2.586872
00000,0,0,0,0,0,166,2.120276
00000,0,0,0,0,0,167,2.496381
00000,0,0,0,0,0,168,2.938257
00000,0,0,0,0,0,169,2.594820
00000,0,0,0,0,0,170,2.481504
00000,0,0,0,0,0,171,2.295859
00000,0,0,0,0,0,172,2.312425
00000,0,0,0,0,0,173,3.102698
00000,0,0,0,0,0,174,2.694943
00000,0,0,0,0,0,175,2.285084
00000,0,0,0,0,0,176,3.011993
00000,0,0,0,0,0,177,2.253852
00000,0,0,0,0,0,178,2.153937
00000,0,0,0,0,0,179,2.419725
00000,0,0,0,0,0,180,2.186429
00000,0,0,0,0,0,181,2.012580
00000,0,0,0,0,0,182,1.790831
00000,0,0,0,0,0,183,3.449478
00000,0,0,0,0,0,184,2.208760
00000,0,0,0,0,0,185,2.422003
00000,0,0,0,0,0,186,2.465169
00000,0,0,0,0,0,187,2.317733
00000,0,0,0,0,0,188,2.159492
00000,0,0,0,0,0,189,2.383368
00000,0,0,0,0,0,190,1.748067
00000,0,0,0,0,0,191,2.262198
00000,0,0,0,0,0,192,2.141417
00000,0,0,0,0,0,193,2.826884
00000,0,0,0,0,0,194,2.773595
00000,0,0,0,0,0,195,2.537723
00000,0,0,0,0,0,196,2.391114
00000,0,0,0,0,0,197,2.984545
00000,0,0,0,0,0,198,2.318766
00000,0,0,0,0,0,199,2.599558
00001,0,0,0,0,1,0,3.365967
00001,0,0,0,0,1,1,3.424273
00001,0,0,0,0,1,2,3.177784
00001,0,0,0,0,1,3,3.066614
00001,0,0,0,0,1,4,3.221285
00001,0,0,0,0,1,5,2.947397
00001,0,0,0,0,1,6,3.290968
00001,0,0,0,0,1,7,3.323986
00001,0,0,0,0,1,8,2.902462
00001,0,0,0,0,1,9,3.223238
00001,0,0,0,0,1,10,2.801902
00001,0,0,0,0,1,11,2.937349
00001,0,0,0,0,1,12,3.061302
00001,0,0,0,0,1,13,3.089694
00001,0,0,0,0,1,14,3.055935
00001,0,0,0,0,1,15,2.739987
00001,0,0,0,0,1,16,2.899256
00001,0,0,0,0,1,17,2.887196
00001,0,0,0,0,1,18,2.720071
00001,0,0,0,0,1,19,2.740484
00001,0,0,0,0,1,20,3.685927
00001,0,0,0,0,1,21,2.796121
00001,0,0,0,0,1,22,2.836526
00001,0,0,0,0,1,23,2.034080
00001,0,0,0,0,1,24,3.385227
00001,0,0,0,0,1,25,2.879516
00001,0,0,0,0,1,26,3.274086
00001,0,0,0,0,1,27,2.911972
00001,0,0,0,0,1,28,2.320905
00001,0,0,0,0,1,29,2.299393
00001,0,0,0,0,1,30,2.897398
00001,0,0,0,0,1,31,2.940302
00001,0,0,0,0,1,32,2.695807
00001,0,0,0,0,1,33,2.196034
00001,0,0,0,0,1,34,3.125189
00001,0,0,0,0,1,35,2.699558
00001,0,0,0,0,1,36,2.477431
00001,0,0,0,0,1,37,2.912717
00001,0,0,0,0,1,38,2.289443
00001,0,0,0,0,1,39,2.857547
00001,0,0,0,0,1,40,2.299972
00001,0,0,0,0,1,41,2.506876
00001,0,0,0,0,1,42,2.905941
00001,0,0,0,0,1,43,2.472699
00001,0,0,0,0,1,44,2.132463
00001,0,0,0,0,1,45,3.105193
00001,0,0,0,0,1,46,2.521083
00001,0,0,0,0,1,47,3.050915
00001,0,0,0,0,1,48,2.715657
00001,0,0,0,0,1,49,2.453386
00001,0,0,0,0,1,50,3.688843
00001,0,0,0,0,1,51,2.845824
00001,0,0,0,0,1,52,3.026790
00001,0,0,0,0,1,53,2.207540
00001,0,0,0,0,1,54,2.740966
00001,0,0,0,0,1,55,2.144248
00001,0,0,0,0,1,56,2.517727
00001,0,0,0,0,1,57,2.520588
00001,0,0,0,0,1,58,2.611851
00001,0,0,0,0,1,59,2.958829
00001,0,0,0,0,1,60,2.712185
00001,0,0,0,0,1,61,2.486464
00001,0,0,0,0,1,62,2.691784
00001,0,0,0,0,1,63,2.899742
00001,0,0,0,0,1,64,2.841466
00001,0,0,0,0,1,65,2.870068
00001,0,0,0,0,1,66,2.712265
00001,0,0,0,0,1,67,2.563849
00001,0,0,0,0,1,68,2.592819
00001,0,0,0,0,1,69,2.852557
00001,0,0,0,0,1,70,3.359949
00001,0,0,0,0,1,71,2.614834
00001,0,0,0,0,1,72,2.563469
00001,0,0,0,0,1,73,2.343098
00001,0,0,0,0,1,74,2.368806
00001,0,0,0,0,1,75,2.755318
00001,0,0,0,0,1,76,2.762094
00001,0,0,0,0,1,77,2.952236
00001,0,0,0,0,1,78,2.377564
00001,0,0,0,0,1,79,2.381569
00001,0,0,0,0,1,80,2.376500
00001,0,0,0,0,1,81,3.042176
00001,0,0,0,0,1,82,2.623637
00001,0,0,0,0,1,83,2.179896
00001,0,0,0,0,1,84,2.249461
00001,0,0,0,0,1,85,2.413739
00001,0,0,0,0,1,86,2.958626
00001,0,0,0,0,1,87,2.777877
00001,0,0,0,0,1,88,2.735630
00001,0,0,0,0,1,89,2.398478
00001,0,0,0,0,1,90,2.648988
00001,0,0,0,0,1,91,3.411448
00001,0,0,0,0,1,92,2.678853
00001,0,0,0,0,1,93,3.047037
00001,0,0,0,0,1,94,2.395424
00001,0,0,0,0,1,95,2.413949
00001,0,0,0,0,1,96,2.003076
00001,0,0,0,0,1,97,3.274788
00001,0,0,0,0,1,98,2.175023
00001,0,0,0,0,1,99,3.200250
00001,0,0,0,0,1,100,2.453630
00001,0,0,0,0,1,101,2.211076
00001,0,0,0,0,1,102,2.756028
00001,0,0,0,0,1,103,2.686494
00001,0,0,0,0,1,104,2.504492
00001,0,0,0,0,1,105,2.462073
00001,0,0,0,0,1,106,2.892982
00001,0,0,0,0,1,107,2.293163
00001,0,0,0,0,1,108,2.182512
00001,0,0,0,0,1,109,2.396115
00001,0,0,0,0,1,110,2.681053
00001,0,0,0,0,1,111,2.564196
00001,0,0,0,0,1,112,2.750060
00001,0,0,0,0,1,113,2.300921
00001,0,0,0,0,1,114,2.194310
00001,0,0,0,0,1,115,2.617527
00001,0,0,0,0,1,116,2.610540
00001,0,0,0,0,1,117,2.190166
00001,0,0,0,0,1,118,2.529617
00001,0,0,0,0,1,119,2.694039
00001,0,0,0,0,1,120,2.341444
00001,0,0,0,0,1,121,2.141581
00001,0,0,0,0,1,122,2.599504
00001,0,0,0,0,1,123,2.434358
00001,0,0,0,0,1,124,2.939293
00001,0,0,0,0,1,125,2.117964
00001,0,0,0,0,1,126,2.539189
00001,0,0,0,0,1,127,2.244525
00001,0,0,0,0,1,128,2.214534
00001,0,0,0,0,1,129,2.998898
00001,0,0,0,0,1,130,2.827474
00001,0,0,0,0,1,131,2.049271
00001,0,0,0,0,1,132,2.739736
00001,0,0,0,0,1,133,2.574155
00001,0,0,0,0,1,134,2.768235
00001,0,0,0,0,1,135,3.143486
00001,0,0,0,0,1,136,2.111656
00001,0,0,0,0,1,137,2.224253
00001,0,0,0,0,1,138,2.844128
00001,0,0,0,0,1,139,2.533481
00001,0,0,0,0,1,140,3.111636
00001,0,0,0,0,1,141,2.339788
00001,0,0,0,0,1,142,3.172226
00001,0,0,0,0,1,143,2.386153
00001,0,0,0,0,1,144,2.474565
00001,0,0,0,0,1,145,2.582591
00001,0,0,0,0,1,146,2.206095
00001,0,0,0,0,1,147,2.479059
00001,0,0,0,0,1,148,2.156631
00001,0,0,0,0,1,149,2.478962
00001,0,0,0,0,1,150,2.792831
00001,0,0,0,0,1,151,2.537702
00001,0,0,0,0,1,152,2.789769
00001,0,0,0,0,1,153,3.076650
00001,0,0,0,0,1,154,2.727922
00001,0,0,0,0,1,155,2.681859
00001,0,0,0,0,1,156,3.182657
00001,0,0,0,0,1,157,1.841488
00001,0,0,0,0,1,158,3.555443
00001,0,0,0,0,1,159,2.122173
00001,0,0,0,0,1,160,2.065047
00001,0,0,0,0,1,161,2.466739
00001,0,0,0,0,1,162,2.471603
00001,0,0,0,0,1,163,2.471776
00001,0,0,0,0,1,164,2.468674
00001,0,0,0,0,1,165,2.586872
00001,0,0,0,0,1,166,2.120276
00001,0,0,0,0,1,167,2.496381
00001,0,0,0,0,1,168,2.938257
00001,0,0,0,0,1,169,2.594820
00001,0,0,0,0,1,170,2.481504
00001,0,0,0,0,1,171,2.295859
00001,0,0,0,0,1,172,2.312425
00001,0,0,0,0,1,173,3.102698
00001,0,0,0,0,1,174,2.694943
00001,0,0,0,0,1,175,2.285084
00001,0,0,0,0,1,176,3.011993
00001,0,0,0,0,1,177,2.253852
00001,0,0,0,0,1,178,2.153937
00001,0,0,0,0,1,179,2.419725
00001,0,0,0,0,1,180,2.186429
00001,0,0,0,0,1,181,2.012580
00001,0,0,0,0,1,182,1.790831
00001,0,0,0,0,1,183,3.449478
00001,0,0,0,0,1,184,2.208760
00001,0,0,0,0,1,185,2.422003
00001,0,0,0,0,1,186,2.465169
00001,0,0,0,0,1,187,2.317733
00001,0,0,0,0,1,188,2.159492
00001,0,0,0,0,1,189,2.383368
00001,0,0,0,0,1,190,1.748067
00001,0,0,0,0,1,191,2.262198
00001,0,0,0,0,1,192,2.141417
00001,0,0,0,0,1,193,2.826884
00001,0,0,0,0,1,194,2.773595
00001,0,0,0,0,1,195,2.537723
00001,0,0,0,0,1,196,2.391114
00001,0,0,0,0,1,197,2.984545
00001,0,0,0,0,1,198,2.318766
00001,0,0,0,0,1,199,2.599558
